l_id	m_id	hatch_date	collection_date	clutch_number	egg_papers
1	2	2024-02-07	2024-02-28	2	3
2	2	2024-01-17	2024-02-07	2	4
2	2	2024-03-20	2024-04-03	1	9
2	2	2024-03-20	2024-04-10	2	6
2	2	2024-04-03	2024-04-17	1	8
3	2	2024-01-10	2024-01-24	1	4
3	2	2024-01-10	2024-01-31	2	6
3	2	2024-02-28	2024-03-13	1	3
3	2	2024-02-28	2024-03-20	2	3
4	2	2024-01-10	2024-01-24	1	7
4	2	2024-01-10	2024-01-31	2	7
5	2	2024-01-17	2024-01-31	1	5
5	2	2024-01-17	2024-02-07	2	4
5	2	2024-03-20	2024-04-03	1	10
5	2	2024-03-20	2024-04-10	2	8
6	2	2024-02-07	2024-02-21	1	3
6	2	2024-02-07	2024-02-28	2	2
6	2	2024-03-06	2024-03-20	1	3
6	2	2024-03-13	2024-04-03	2	3
6	2	2024-04-06	2024-04-20	1	2
7	2	2024-01-21	2024-02-04	1	7
7	2	2024-01-24	2024-02-14	2	4
7	2	2024-03-20	2024-04-03	1	10
7	2	2024-03-20	2024-04-10	2	5
8	2	2024-02-07	2024-02-21	1	7
8	2	2024-02-07	2024-02-28	2	6
8	2	2024-03-06	2024-03-20	1	5
8	2	2024-03-13	2024-04-03	2	4
9	2	2024-01-31	2024-02-14	1	5
9	2	2024-01-31	2024-02-21	2	5
9	2	2024-02-28	2024-03-13	1	3
9	2	2024-02-28	2024-03-20	2	3
10	2	2024-01-24	2024-02-14	2	3
10	2	2024-03-11	2024-03-25	1	6
10	2	2024-03-13	2024-04-03	1	3
10	2	2024-03-27	2024-04-10	2	1
10	2	2024-03-27	2024-04-17	1	4
11	2	2024-01-31	2024-02-14	1	3
11	2	2024-01-31	2024-02-21	2	2
11	2	2024-03-11	2024-03-25	1	4
11	2	2024-03-13	2024-04-03	2	3
11	2	2024-03-27	2024-04-10	1	3
12	2	2024-01-24	2024-02-07	1	3
12	2	2024-01-24	2024-02-14	2	3
12	2	2024-03-11	2024-03-25	1	4
12	2	2024-03-13	2024-04-03	2	3
13	2	2024-01-17	2024-01-31	1	5
13	2	2024-01-17	2024-02-07	2	5
13	2	2024-02-28	2024-03-13	1	4
13	2	2024-02-28	2024-03-20	2	3
14	2	2024-01-17	2024-01-31	1	7
14	2	2024-01-17	2024-02-07	2	3
14	2	2024-01-31	2024-02-14	1	4
15	2	2024-02-07	2024-02-21	1	8
15	2	2024-02-07	2024-02-28	2	5
15	2	2024-03-11	2024-03-25	1	5
15	2	2024-03-13	2024-04-03	2	3
16	2	2024-01-24	2024-02-07	1	7
16	2	2024-02-28	2024-03-13	1	4
16	2	2024-02-28	2024-03-20	2	3
